RECID,G#B,O#B,TPOS,FPOS,FNEG,(TNEG), ./models/pm_lm_slm/output: p,r,F, ./models/pm_only/output: p,r,F, ./models/pm_lm/output: p,r,F
S247XV35QK_SC_01,1,1,1.0,0.0,0.0,114.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SD_01,8,1,1.0,0.0,7.0,124.0,1.0,0.125,0.2222222222222222,1.0,0.125,0.2222222222222222,1.0,0.0,0.0
S247XV35QK_SE_01,1,1,1.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SE_02,1,1,1.0,0.0,0.0,33.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SE_03,3,1,1.0,0.0,2.0,40.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S247XV35QK_SE_04,3,1,1.0,0.0,2.0,36.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S247XV35QK_SE_05,1,1,1.0,0.0,0.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SC_01,1,1,1.0,0.0,0.0,111.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SD_01,5,1,1.0,0.0,4.0,134.0,1.0,0.2,0.33333333333333337,1.0,0.2,0.33333333333333337,1.0,0.2,0.33333333333333337
S2BDQ6WDWT_SE_01,2,1,1.0,0.0,1.0,20.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SE_02,0,1,0.0,1.0,0.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2BDQ6WDWT_SE_03,1,1,1.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SE_04,1,1,1.0,0.0,0.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2BDQ6WDWT_SE_05,1,1,1.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SC_01,1,1,0.0,1.0,1.0,34.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2DN556XDR_SD_01,5,1,0.0,1.0,5.0,64.0,0.0,0.0,0,1.0,0.6,0.7499999999999999,1.0,0.0,0.0
S2DN556XDR_SE_01,1,1,1.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SE_02,0,1,0.0,1.0,0.0,14.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2DN556XDR_SE_03,1,1,1.0,0.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SE_04,1,1,1.0,0.0,0.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2DN556XDR_SE_05,1,1,1.0,0.0,0.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SC_01,3,1,1.0,0.0,2.0,13.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SD_01,1,1,1.0,0.0,0.0,66.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SE_01,1,1,1.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2F4VD4NK8_SE_02,0,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2F4VD4NK8_SE_03,1,1,1.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2KNF7ZPAF_SC_01,4,1,1.0,0.0,3.0,149.0,1.0,0.25,0.4,1.0,0.0,0.0,0.5,0.25,0.3333333333333333
S2KNF7ZPAF_SD_01,9,1,0.0,1.0,9.0,170.0,0.0,0.0,0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S2KNF7ZPAF_SE_01,2,1,0.0,1.0,2.0,47.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0
S2KNF7ZPAF_SE_02,2,1,1.0,0.0,1.0,41.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S2KNF7ZPAF_SE_03,1,1,1.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2KNF7ZPAF_SE_04,1,1,1.0,0.0,0.0,56.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2KNF7ZPAF_SE_05,1,1,1.0,0.0,0.0,46.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2NCW57TBV_SC_01,5,1,1.0,0.0,4.0,71.0,1.0,0.2,0.33333333333333337,1.0,0.2,0.33333333333333337,1.0,0.0,0.0
S2NCW57TBV_SD_01,3,1,0.0,1.0,3.0,116.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2NCW57TBV_SE_01,2,1,1.0,0.0,1.0,35.0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.0,0.0
S2NCW57TBV_SE_02,2,1,1.0,0.0,1.0,34.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S2NCW57TBV_SE_03,0,1,0.0,1.0,0.0,26.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2NCW57TBV_SE_04,2,1,0.0,1.0,2.0,43.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0
S2NCW57TBV_SE_05,1,1,0.0,1.0,1.0,35.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
S2PGHPT4GM_SC_01,1,1,0.0,1.0,1.0,102.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2PGHPT4GM_SD_01,3,1,1.0,0.0,2.0,120.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S2PGHPT4GM_SE_01,1,1,1.0,0.0,0.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
S2PGHPT4GM_SE_02,0,1,0.0,1.0,0.0,40.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2PGHPT4GM_SE_03,2,1,1.0,0.0,1.0,26.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S2PGHPT4GM_SE_04,0,1,0.0,1.0,0.0,22.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2PGHPT4GM_SE_05,1,1,1.0,0.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2SG3Q2V56_SC_01,6,1,1.0,0.0,5.0,92.0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0
S2SG3Q2V56_SD_01,7,1,0.0,1.0,7.0,135.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2SG3Q2V56_SE_01,3,1,1.0,0.0,2.0,34.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S2SG3Q2V56_SE_02,3,1,1.0,0.0,2.0,43.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S2SG3Q2V56_SE_03,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
S2SG3Q2V56_SE_04,2,1,0.0,1.0,2.0,41.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0
S2SG3Q2V56_SE_05,4,1,1.0,0.0,3.0,33.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.0,0.0
S2UBQHXQMT_SC_01,3,1,0.0,1.0,3.0,71.0,0.0,0.0,0,1.0,0.6666666666666666,0.8,1.0,0.0,0.0
S2UBQHXQMT_SD_01,6,1,1.0,0.0,5.0,107.0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S2UBQHXQMT_SE_01,3,1,0.0,1.0,3.0,37.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2UBQHXQMT_SE_02,1,1,1.0,0.0,0.0,36.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
S2UBQHXQMT_SE_03,2,1,1.0,0.0,1.0,42.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S2UBQHXQMT_SE_04,1,1,1.0,0.0,0.0,42.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2UBQHXQMT_SE_05,2,1,0.0,1.0,2.0,54.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0
S2WHT5J7J5_SC_01,3,1,1.0,0.0,2.0,51.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S2WHT5J7J5_SD_01,1,1,1.0,0.0,0.0,123.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2WHT5J7J5_SE_01,0,1,0.0,1.0,0.0,15.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2WHT5J7J5_SE_02,0,1,0.0,1.0,0.0,30.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2WHT5J7J5_SE_03,1,1,1.0,0.0,0.0,36.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2WHT5J7J5_SE_04,1,1,1.0,0.0,0.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2WHT5J7J5_SE_05,1,1,1.0,0.0,0.0,29.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2XP3M3EQ9_SC_01,0,1,0.0,1.0,0.0,81.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2XP3M3EQ9_SD_01,5,1,0.0,1.0,5.0,133.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S2XP3M3EQ9_SE_01,1,1,1.0,0.0,0.0,38.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2XP3M3EQ9_SE_02,1,1,1.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2XP3M3EQ9_SE_03,1,1,0.0,1.0,1.0,15.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
S2XP3M3EQ9_SE_04,1,1,1.0,0.0,0.0,37.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2XP3M3EQ9_SE_05,0,1,0.0,1.0,0.0,33.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S2Y5PKHZA8_SD_01,0,1,0.0,1.0,0.0,21.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S32DT6JZW7_SC_01,6,1,0.0,1.0,6.0,75.0,0.0,0.0,0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S32DT6JZW7_SD_01,5,1,0.0,1.0,5.0,129.0,0.0,0.0,0,1.0,0.8,0.888888888888889,0.0,0.0,0
S32DT6JZW7_SE_01,2,1,1.0,0.0,1.0,29.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S32DT6JZW7_SE_02,1,1,0.0,1.0,1.0,42.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S32DT6JZW7_SE_03,0,1,0.0,1.0,0.0,33.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S32DT6JZW7_SE_04,1,1,1.0,0.0,0.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S32DT6JZW7_SE_05,2,1,1.0,0.0,1.0,42.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S34EH9UV5V_SC_01,8,1,0.0,1.0,8.0,106.0,0.0,0.0,0,1.0,0.875,0.9333333333333333,1.0,0.125,0.2222222222222222
S34EH9UV5V_SD_01,3,1,1.0,0.0,2.0,109.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S34EH9UV5V_SE_01,1,1,1.0,0.0,0.0,41.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S34EH9UV5V_SE_02,3,1,1.0,0.0,2.0,33.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,0.0
S34EH9UV5V_SE_03,1,1,1.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S34EH9UV5V_SE_04,1,1,1.0,0.0,0.0,46.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S34EH9UV5V_SE_05,1,1,1.0,0.0,0.0,49.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36B37NNP7_SC_01,0,1,0.0,1.0,0.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
S36B37NNP7_SD_01,0,1,0.0,1.0,0.0,54.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S36B37NNP7_SE_01,2,1,0.0,1.0,2.0,9.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0
S36B37NNP7_SE_02,2,1,1.0,0.0,1.0,18.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S36B37NNP7_SE_03,0,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S36B37NNP7_SE_04,1,1,1.0,0.0,0.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36B37NNP7_SE_05,1,1,1.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36S4HCDUW_SC_01,8,1,1.0,0.0,7.0,98.0,1.0,0.125,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0
S36S4HCDUW_SD_01,1,1,1.0,0.0,0.0,128.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
S36S4HCDUW_SE_01,1,1,1.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36S4HCDUW_SE_02,1,1,1.0,0.0,0.0,42.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36S4HCDUW_SE_03,1,1,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36S4HCDUW_SE_04,1,1,1.0,0.0,0.0,34.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S36S4HCDUW_SE_05,1,1,1.0,0.0,0.0,33.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SC_01,1,1,1.0,0.0,0.0,122.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
S37N46JJKH_SD_01,2,1,1.0,0.0,1.0,109.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_01,1,1,1.0,0.0,0.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_02,1,1,1.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_03,1,1,1.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_04,3,1,1.0,0.0,2.0,34.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_05,1,1,1.0,0.0,0.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SC_01,6,1,1.0,0.0,5.0,129.0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857
S3KS68D5GG_SD_01,5,1,0.0,1.0,5.0,135.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.2,0.33333333333333337
S3KS68D5GG_SE_01,1,1,1.0,0.0,0.0,43.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SE_02,2,1,1.0,0.0,1.0,51.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SE_03,1,1,0.0,1.0,1.0,46.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SE_04,2,1,0.0,1.0,2.0,37.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,0.0,0.0,0
S3KS68D5GG_SE_05,0,1,0.0,1.0,0.0,54.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3KVR8CNFZ_SC_01,4,1,1.0,0.0,3.0,75.0,1.0,0.25,0.4,1.0,0.0,0.0,1.0,0.0,0.0
S3KVR8CNFZ_SD_01,3,1,0.0,1.0,3.0,78.0,0.0,0.0,0,1.0,0.3333333333333333,0.5,0.0,0.0,0
S3KVR8CNFZ_SE_01,1,1,0.0,1.0,1.0,18.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S3KVR8CNFZ_SE_02,3,1,1.0,0.0,2.0,32.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S3KVR8CNFZ_SE_03,0,1,0.0,1.0,0.0,20.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3KVR8CNFZ_SE_04,0,1,0.0,1.0,0.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3KVR8CNFZ_SE_05,1,1,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SC_01,0,1,0.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3WXPCUE47_SD_01,4,1,0.0,1.0,4.0,48.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SE_01,1,1,1.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SE_02,1,1,1.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
S3WXPCUE47_SE_03,0,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3WXPCUE47_SE_04,1,1,1.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SE_05,3,1,1.0,0.0,2.0,23.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S3X7KSJ2J2_SC_01,9,1,0.0,1.0,9.0,92.0,0.0,0.0,0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.2222222222222222,0.3333333333333333
S3X7KSJ2J2_SD_01,1,1,1.0,0.0,0.0,109.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
